Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,6,6,1,3,1,No,Top half,tensor(0.7608),0.8730964467005076,0.849802371541502,0.8612919379068602,0.49681899398992907,0.8732202254637795,"[[21, 125], [152, 860]]"
PCA,8,Angle Embedding,6,6,1,3,2,No,Top half,tensor(0.7478),0.8665987780040734,0.8409090909090909,0.8535606820461384,0.4718244084682441,0.8677636057929528,"[[15, 131], [161, 851]]"
PCA,8,Angle Embedding,6,6,1,3,2,No,Top half,tensor(0.7539),0.8668012108980827,0.8488142292490118,0.8577134298552173,0.472352320103958,0.8678775540721725,"[[14, 132], [153, 859]]"
PCA,8,Angle Embedding,6,6,1,3,2,No,Top half,tensor(0.7539),0.8675429726996967,0.8478260869565217,0.8575712143928036,0.4752829064919595,0.8685134740005951,"[[15, 131], [154, 858]]"
PCA,8,Angle Embedding,6,6,2,9,1,No,Top half,tensor(0.7358),0.8707983193277311,0.8191699604743083,0.8441955193482689,0.4883521035248254,0.8713629129076932,"[[23, 123], [183, 829]]"
PCA,8,Angle Embedding,6,6,2,9,1,No,Top half,tensor(0.7522),0.8725590955806783,0.8389328063241107,0.8554156171284635,0.49480886891548004,0.8727783816544977,"[[22, 124], [163, 849]]"
PCA,8,Angle Embedding,6,6,2,9,1,No,Top half,tensor(0.7504),0.8722966014418125,0.8369565217391305,0.8542612203731719,0.4938207266229899,0.8725613760997283,"[[22, 124], [165, 847]]"
PCA,8,Angle Embedding,6,6,2,9,2,No,Top half,tensor(0.7530),0.8681541582150102,0.8458498023715415,0.8568568568568569,0.47771942173371595,0.8690430490609341,"[[16, 130], [156, 856]]"
PCA,8,Angle Embedding,6,6,2,9,2,No,Top half,tensor(0.7547),0.868421052631579,0.8478260869565217,0.858,0.47870756402620607,0.8692579330732779,"[[16, 130], [154, 858]]"
PCA,8,Angle Embedding,6,6,2,9,2,No,Top half,tensor(0.7565),0.8686868686868687,0.849802371541502,0.8591408591408591,0.4796957063186962,0.869472955610292,"[[16, 130], [152, 860]]"
PCA,8,Angle Embedding,6,6,3,2,1,No,Top half,tensor(0.7591),0.8713272543059777,0.849802371541502,0.8604302151075538,0.4899696789214359,0.8717167615711949,"[[19, 127], [152, 860]]"
PCA,8,Angle Embedding,6,6,3,2,1,No,Top half,tensor(0.7591),0.8713272543059777,0.849802371541502,0.8604302151075538,0.4899696789214359,0.8717167615711949,"[[19, 127], [152, 860]]"
PCA,8,Angle Embedding,6,6,3,2,1,No,Top half,tensor(0.7617),0.8717171717171717,0.8527667984189723,0.862137862137862,0.49145189236017106,0.8720415825501941,"[[19, 127], [149, 863]]"
